word,part_of_speech,meaning,example,example_meaning,definition,ID,pronunciation
rectitude,noun,thái độ đúng đắn,Or “ rectitude ; uprightness.”,Hay “ chính trực ; ngay thẳng”.,Straightness; the state or quality of having a constant direction and not being crooked or bent.,9576,/ˌrɛktəˈtud/
interdict,verb,cấm chỉ,There is no real name for the interdiction .,Không có tên thật cho sự cấm chỉ này.,"A papal decree prohibiting the administration of the sacraments from a political entity under the power of a single person (e.g., a king or an oligarchy with similar powers). Exteme unction/Anointing of the sick are excepted.",9577,/ɪntəˈdɪkt/
fey,adjective,loạn thần kinh,Yao Fei is still out there.,Còn có Nhạc Phi mà.,Magical or fairylike.,9578,/feɪ/
assessor,noun,bồi thẩm,Ports and harbour assessor .,Viên hội thẩm ở cảng và bến tàu.,One who assesses a property for tax evaluation.,9579,/əˈsɛsə/
probate,verb,di chúc,Probate court.,Bản sao di chúc từ tòa án.,(law) The legal process of verifying the legality of a will.,9580,/ˈprʌʊbeɪt/
connivance,noun,sự bao che ngầm,Conniving and as cruel as they come.,Mưu mô và vô cùng độc ác.,The process of conniving.,9581,/kəˈnaɪvəns/
circumstantial,adjective,gián tiếp,Everything else is circumstantial .,Mọi thứ khác là gián tiếp .,"Pertaining to or dependent on circumstances, especially as opposed to essentials; incidental, not essential.",9582,/ˌsɜrkəmˈstænʧəl/
idealist,noun,duy tâm,"When I started this job, I was very idealistic .","Khi bắt đầu việc này, tôi từng suy nghĩ theo lối duy tâm",(philosophy) One who adheres to idealism.,9583,/aɪˈdɪəlɪst/
becoming,adjective,thích hợp,Didn't look nearly as becoming as it does on you.,Trông không thích hợp bằng cô bây giờ.,Present participle of become.,9584,/bɪˈkʌmɪŋ/
acronym,noun,từ viết tắt,A big mouthful -- you can see why we use the acronym CRISPR.,Thật líu lưỡi -- đó là tại sao chúng tôi sử dụng từ viết tắt CRISPR.,"An abbreviation formed by (usually initial) letters taken from a word or series of words, that is itself pronounced as a word, such as RAM, radar, or scuba; sometimes contrasted with initialism.",9585,/ˈækrənɪm/
finite,adjective,có hạn,"These figures couldn't be exact, but we knew those materials were finite .","Những con số này không thể chính xác, nhưng ta được rằng vật liệu kia là có hạn .","Limited, constrained by bounds, impermanent",9586,/ˈfaɪnaɪt/
monoculture,noun,độc canh,And we started growing larger and larger crop monocultures .,Và chúng ta phát triển độc canh ngày càng lớn.,the cultivation of a single crop at a time,9587,/ˌmɑnəˈkʌltʃər/
enviable,adjective,gây đố kỵ,His position as a sadist wasn't perhaps as enviable as it might first appear.,Anh ta với tư cách là một kẻ bạo dâm có lẽ chẳng gây đố kỵ như ban đầu nó xuất hiện.,Arousing or likely to arouse envy.,9588,/ˈɛnviəbəl/
lobbyist,noun,người vận động hành lang,I don't employ lobbyists .,Tôi không tuyển người vận động hành lang .,A person remunerated to persuade (to lobby) politicians to vote in a certain way or otherwise use their office to effect a desired result.,9589,/ˈlɒbiɪst/
stonewall,adjective,ở nghị viện,Stonewall # by Tigert,Tường đá # bởi TigertComment,A wall made up of stone.,9590,/ˌstoʊnˈwɔl/
polarize,verb,phân cực,"In the case of cholesterol, the polar group is a mere –OH (hydroxyl or alcohol).","Trong trường hợp của cholesterol, nhóm phân cực là nhóm -OH (hidroxit hoặc cồn).","(transitive, US) To cause to have a polarization.",9591,/ˈpʌʊləraɪz/
proponent,adjective,người đề nghị,"One of the proponents of full regional autonomy for the German-speaking Community is Karl-Heinz Lambertz, the minister-president from 1999 to 2014.","Một trong những người đề nghị về quyền tự trị khu vực hoàn toàn cho Cộng đồng nói tiếng Đức là Karl-Heinz Lambertz, ông là bộ trưởng-thủ hiến từ 1999 đến 2014.",One who supports something; an advocate,9592,/prəˈpʌʊnɪnt/
sterilize,verb,khử trùng,He sterilized it?,Hắn khử trùng nó à?,To deprive a male or female the ability to procreate.,9593,/ˈstɛrɪlaɪz/
trigger,verb,cò súng,To find out whose finger's on the trigger .,Để tìm xem ngón tay của ai trên cò súng .,A finger-operated lever used to fire a gun.,9594,/ˈtrɪgə/
stethoscope,noun,ống nghe,And that is how stethoscope and auscultation was born.,Và chiếc ống nghe và phương pháp thính chẩn được khai sinh.,A medical instrument used for listening to sounds produced within the body.,9595,/ˈstɛθəskəʊp/
manicure,verb,sửa móng tay,Since when do you get manicures ?,Em đi sửa móng tay từ khi nào thế?,a cosmetic treatment for the fingernails,9596,/ˈmænɪkjə/
sculpted,adjective,khắc,We can begin to sculpt the form.,Chúng ta có thể bắt đầu tạo hình.,"Well shaped, as a good sculpture is.",9597,/ˈskʌlptɪd/
kinetic,adjective,động lực học,Einstein showed that mass can be converted into useful kinetic energy.,Einstein cho thấy rằng khối lượng có thể chuyển hóa thành năng lượng động lực học hữu ích.,Of or relating to motion,9598,/kɪˈnɛtɪk/
immortal,adjective,bất tử,Myth 1: The Soul Is Immortal,Quan điểm 1: Linh hồn bất tử,One that is not susceptible to death.,9599,/ɪˈmɔtəl/
subconscious,adjective,tiềm thức,A spirit guide that attaches to your subconscious .,Một linh hồn dẫn đường có kết nối với tiềm thức của anh.,partially conscious.,9600,/səbˈkɒnʃəs/
nihilist,noun,vô nghĩa,Now I'm not trying to deliver a nihilistic message here.,Tôi không có gắng để truyền tải một thông điệp vô hình ở đây.,"(philosophy, religion) A person who accepts or champions nihilism.",9601,/ˌnɑɪəˈlɪst/
administer,verb,quản lý,It is administered by SETAR.,Nó được quản lý bởi SETAR.,"(transitive) To cause to take, either by openly offering or through deceit.",9602,/ædˈmɪnɪstə/
recover,verb,bình phục,Why was he recovering from surgery?,Tại sao anh ta đang bình phục sau phẫu thuật?,"(transitive) To get back, regain (a physical thing lost etc.).",9603,/rɛˈkʌvə/
aficionado,noun,người cuồng nhiệt,And I know some of you are Apple aficionados .,Và tôi cũng biết một số trong số các bạn là những người cuồng nhiệt đồ của Apple.,"A person who likes, knows about, and appreciates a particular interest or activity; a fan or devotee.",9604,/əfɪʃiəˈnɑdəʊ/
curio,noun,vật hiếm có,What are curios ?,Vật hiếm có là gì?,A strange and interesting object which invokes curiosity.,9605,/ˈkjʊriəʊ/
monochromatic,adjective,một màu,You don't want any clothes that are not monochromatic ?,Anh không muốn bộ đồ một màu nào hả?,"Having only one color, represented by differing hues and tints. For example shades in a black and white television.",9606,/mɒnəkrəʊˈmætɪk/
oscillate,verb,dao động,Hertz had positioned the oscillator about 12 meters from a zinc reflecting plate to produce standing waves.,Hertz đã gây một dao động khoảng 12 mét đến một tấm kẽm để tạo sóng dừng.,"(intransitive) To swing back and forth, especially if with a regular rhythm.",9607,/ˌɑsəˈleɪt/
depredation,noun,sự cướp bóc,"With the Rhodian fleet and economy suffering from the depredations of the pirates, Philip believed his chance to crush Rhodes was at hand.","Với hạm đội của người Rhodes và nền kinh tế suy sụp từ sự cướp bóc của cướp biển, Philippos tin rằng cơ hội của mình để đè bẹp Rhodes là đang nằm trong tay.","An act of consuming agricultural resources (crops, livestock), especially as plunder.",9608,/ˈdɛprəˌdeɪʃən/
sprout,verb,mọc,It already made you sprout a butt-hand!,Chưa gì mông của chú đã mọc tay rồi kìa.,"A new growth on a plant, whether from seed or other parts.",9609,/spraʊt/
lunge,verb,đâm,The next rib drives into your lungs .,Cái xương sườn tiếp theo sẽ đâm vào phổi mày đấy.,"A sudden forward movement, especially with a sword.",9610,/ləndʒ/
splatter,verb,kêu lộp độp,Bug splatter .,Xác côn trùng ấy .,An uneven shape or mess created by something dispersing on impact.,9611,/ˈsplætə/
hydrophobia,noun,chứng sợ nước,"They seem inoculated with madness, Satanic hydrophobia [rabies].","Họ có vẻ bị tiêm nhiễm bởi sự điên khùng, bệnh dại của Sa-tan.","(pathology) An aversion to water, as a symptom of rabies; rabies itself.",9612,/ˌˈhaɪdrəˌˈfoʊbiə/
vicious,adjective,xấu xa,They're vicious and they're dangerous.,Bọn họ đều xấu xa và nguy hiểm.,Pertaining to vice; characterised by immorality or depravity.,9613,/ˈvɪʃɪs/
stampede,verb,chạy tán loạn,Stampede in the gorge.,Lũ bò chạy tán loạn ở hẻm núi.,"A wild, headlong scamper, or running away, of a number of animals; usually caused by fright; hence, any sudden flight or dispersion, as of a crowd or an army in consequence of a panic.",9614,/stæmˈpid/
range,verb,Dải,Now imagine your ears were only sensitive to a very limited range of frequencies.,Bây giờ hãy tưởng tượng tai bạn chỉ nhạy cảm với một dải tần số rất hạn chế.,Line or series of mountains,9615,/reɪndʒ/
smear,verb,bôi nhọ,"Smeared by the Church in 591 anno Domini, poor dear.","Giáo hội bôi nhọ cô ta vào năm 59 1 trước CN, tội thật.","(transitive) To spread (a substance, especially one that colours or is dirty) across a surface by rubbing.",9616,/smɪə/
hideous,adjective,ghê tởm,Thank God Mr. Coleman survived these hideous acts of random violence.,Cám ơn chúa anh Coleman đã sống sót qua những hành động ghê tởm này.,Frightful; shocking; extremely ugly.,9617,/ˈhɪdiəs/
fidgety,adjective,bồn chồn,Jimmy’s mom would be holding and hugging her two-year-old when he would get fidgety .,Mẹ của Jimmy sẽ bế và ôm cậu con hai tuổi của mình mỗi khi cậu bé lo lắng bồn chồn .,"Having, or pertaining to, a tendency to fidget.",9618,/ˈfɪdʒɪti/
mural,adjective,bức tranh tường,A colonnaded great hall (lobby) includes a mural of Ulrim Falls.,Một sảnh lớn hội trường (sảnh) bao gồm một bức tranh tường của Ulrim Falls.,"A large painting, usually drawn on a wall.",9619,/ˈmjʊərəl/
apocalypse,noun,sách khải huyền,“Glad Tidings” From the Apocalypse,“Tin vui” từ sách Khải - huyền,(uncountable) The end of life on earth or all.,9620,/əˈpɒkəlɪps/
counterclaim,verb,yêu cầu bồi thường,"Genevieve, Missouri, who had advocated the American occupation of Oregon as a counterclaim to the British.","Genevieve, Missouri người cổ vũ Hoa Kỳ chiếm Oregon để đối chọi lại sự tuyên bố chủ quyền của người Anh.",(law) a suit filed by a defendant against a plaintiff secondary to the original complaint.,9621,/ˈkaʊntəkleɪm/
portion,noun,phần,"In some languages, however, ""part of a program"" refers to "" portion of run time (time period during execution)"", and is known as dynamic scope.","Tuy nhiên trong một số ngôn ngữ, ""một phần chương trình"" đề cập đến ""một phần của thời gian chạy (khoảng thời gian trong khi thực thi)"", và được gọi là tầm vực động (dynamic scope).",An allocated amount.,9622,/ˈpɔʃən/
critique,verb,bài phê bình,His sociology engaged in a neo-Kantian critique of the limits of human perception.,Ông tham gia vào bài phê bình xã hội học của neo-Kantian chỉ trích giới hạn của nhận thức con người.,"Essay in which another piece of work is criticised, reviewed, etc.",9623,/krɪˈtik/
foreshadow,verb,báo hiệu,"Irving establishes the mood and tone, foreshadowing the horror which is to come.","Irving lập tâm trạng và giai điệu, báo hiệu trước các kinh dị đang tiến đến gần.","To presage, or suggest something in advance.",9624,/fɔˈʃædəʊ/
tang,verb,chuôi,The tang is nearly the width of the blade.,Chuôi kiếm gần bằng chiều ngang của lưỡi kiếm...,(obsolete) tongue,9625,/tæŋ/
